<a0> <a1> <a2> <a3> <b0> <b1> <b2> <b3> <c0> <r> <r_gold>
-1 7 -3.5 1 -8 -0.1875 -4 -8 -3.25 10 9
7 -5.5 3.5 -0.1875 -2 5.5 7.5 2.25 1.75 -18 -16
10 -3.5 9 -7 9 8 7.5 -4 5.5 160 160
0.25 6.5 5.5 6 -4.5 10 8 -8 -3.5 56 60
9 5.5 -0.9375 -7.5 10 3.75 10 1.75 -3.5 88 88
-2.5 7.5 7 -3.75 -2.25 6.5 -0.25 -6.5 -7.5 72 72
-3.5 0.5 -9 -2.75 -6 2.75 2.75 -3 9 15 15
10 -3.25 -10 5 -8 -9 7 3.25 0.5625 -104 -104
6.5 -4 -1.625 -4.5 7.5 -7 -0.8125 2.25 -7 52 64
-3.75 -2.75 4 -8 7 4 -5 3.5 -5 -96 -88
-9 5.5 4.5 -10 -9 4 5.5 0.5 0.8125 120 120
-3.75 -6 6.5 7.5 -0.875 -0.0507812 -5 -10 -0.3125 -104 -96
1.75 9 7 -0.4375 8 2.75 -3.25 5.5 -6.5 6.5 10
-4 -9 1.375 3.5 -0.234375 3 -2.5 1.25 -3 -28 -32
8 1.375 -4.5 1.25 -2.25 9 -5.5 3.25 9 32 32
-8 4 2.25 4.5 7 2.5 0.46875 9 9 0.5 1
2.75 6.5 6 -6.5 -1.25 3.25 1.125 2.75 -0.40625 6 5.5
7.5 8 7 -3 -3.25 -9 9 -6.5 4.5 -12 -7.5
-7 -6 -4.5 -5 -9 1.875 -6.5 -9 7 128 128
7.5 4.5 -8 -0.8125 -4 6 -2.25 7.5 -6.5 3 3.5
2.75 -6.5 10 7 7.5 -9 6.5 -9 10 96 88
-9 0.5625 1 4 -9 -4 -2.5 6 2.25 104 104
-0.1875 -1.375 0.1875 7 -0.8125 3.75 -6.5 -1.625 1.25 -16 -15
4.5 0.21875 10 5 -7 -3.75 -1.5 3.25 -0.125 -32 -32
0.9375 -9 -6 7 1.25 -2.75 -0.875 1.375 -1.875 40 40
-3 1.625 3.5 9 -7.5 -4.5 1.5 -3 -0.46875 -7 -8
-7 4 -1.875 6 -6.5 1.75 -5.5 4 -9 80 80
7.5 -9 1.25 -2 -6.5 -2.25 1.5 10 -4.5 -48 -52
-6.5 8 -7 7 -7 5.5 -3.25 8 2.75 176 160
-9 8 2.75 -7 5 4.5 5 -7 -1.125 52 56
-5 -6 6.5 1.5 8 -4.5 5 0.3125 5 24 24
8 4.5 -3.25 -1.5 -6 3.5 4.5 7 3 -56 -52
4.5 -3.5 0.1875 -1.75 -6.5 -6 4.5 -7.5 3 9 7
-6.5 -5 1.25 2.75 5.5 5 -8 -6.5 -4.5 -88 -96
-9 -5.5 6.5 -2.75 1.5 0.5625 -6 8 0.625 -80 -80
-2.5 8 -6.5 7 -0.34375 -1.375 4.5 7 -10 1 -2
-4.5 3.25 0.140625 -1.75 6 -4 -3 4.5 3.5 -44 -44
-1.375 -2 2.5 -1.375 -8 9 9 9 -3 -0.375 0
-6.5 -6 -4.5 3.75 1.875 -0.9375 1.75 -2.75 1.75 -22 -22
-4.5 10 0.15625 2.5 7.5 -0.09375 5 9 0.140625 -10 -10
3.5 -8 1 0.25 -9 -5 3.5 -0.101562 -0.15625 12 12
-8 3.75 -7.5 10 1.125 8 1.125 -9 -2.25 -80 -80
-7.5 -1.375 2.5 -1.375 -2.75 -4 9 -0.375 6.5 56 56
2 1.75 8 -9 10 6 9 -1.625 0.625 120 120
-2.75 1.75 -0.6875 -0.75 -7.5 2.5 3.25 3 7 28 28
9 -1.375 -2.25 -1.875 3 -0.3125 2.25 -0.125 -5.5 16 18
-0.875 -9 -6 10 7.5 -8 1.5 7.5 -8 120 120
5.5 3.5 -5.5 -0.40625 -0.9375 0.1875 -4.5 5 -9 10 9
9 9 -2.75 -8 -6.5 9 -0.875 5 0.109375 -18 -18
-6 0.8125 -3.75 -3 3.25 -4.5 -6 1.625 -1.25 -6.5 -8
-6 -5.5 9 -8 9 -3.25 2.25 2 -2.25 -36 -40
2 -3.75 8 0.8125 0.8125 -3.25 -3.5 -0.00390625 -8 -22 -22
-3.25 -3.75 -1.5 -6 -0.6875 -7 -6.5 1.5 10 40 40
-6.5 10 6.5 -5 4 10 -5.5 8 1.25 4 -2.75
5.5 0.375 1.5 -4.5 -0.21875 -6 3 2 2.5 -5.5 -5.5
-0.875 2.75 8 9 0.0078125 -7 1.375 4 -8 20 20
5.5 0.40625 -7.5 10 -0.4375 -5 -9 -6.5 0.5625 -1 -3.5
-0.078125 7.5 -1.375 3.5 -1.25 2.5 -10 4 -5.5 40 44
-9 -10 9 -6.5 -3.75 -9 -4.5 3.75 -4 56 52
10 10 0.9375 -10 9 -7 -4.5 -6 6 80 80
0.9375 9 5 -6 -9 -8 -9 6 -2 -160 -160
-5 9 2 -0.101562 0.3125 10 1.5 8 -9 80 80
10 8 8 8 -4.5 3.75 4.5 3.5 -8 40 40
6.5 -0.15625 6.5 8 -7 -1.125 4 6 1.625 30 32
-10 -0.46875 4.5 6.5 9 9 -4.5 -5 -9 -160 -160
-5.5 8 -10 -9 -5.5 0.40625 -8 5 -2.75 64 60
-4 0.0214844 9 10 -3.5 -1 -2.5 9 -1.75 80 80
8 -1.5 -1 -8 -0.5625 -5.5 4 -5.5 6 48 48
-6 -4 -1.375 -6.5 -1.875 -2.25 0.625 3.75 -5.5 -10 -10
-2.5 4.5 0.75 6 3.25 3.5 0.8125 -3.5 -2.75 -16 -14
-6 1.5 3.25 -3.25 5 -6.5 6 -0.625 7.5 -10 -10
-6.5 0.875 7.5 -0.6875 -3.25 6 5 7 6 64 64
6.5 -10 -9 0.171875 -4.5 7 0.5 9 3 -104 -112
10 -10 -10 -1.625 -4.5 0.15625 -9 -1.625 3 52 52
-3.75 -9 -7 -0.140625 -2.5 -4.5 -5 -9 8 96 88
-0.8125 2.25 3.25 6.5 2.75 -1 -0.75 6.5 10 44 48
-7.5 8 0.6875 -5.5 2.5 -7 -3.5 1.875 5.5 -80 -72
-9 -4.5 4 -0.9375 3.5 4.5 5.5 6.5 1.5 -36 -36
7 -0.75 6.5 -4.5 -3 4.5 5.5 5 2.75 -8 -7
9 -2 0.625 6.5 1.375 7.5 10 0.21875 7 12 12
4.5 0.625 2.5 2.75 6.5 6.5 -7.5 -1.75 3.75 13 13
0.6875 -3 -2.75 2.75 9 10 -7.5 -6.5 -9 -28 -32
0.3125 6 5.5 -7.5 5 6 1.5 -0.375 -0.75 48 48
1.125 -9 9 4 -1.5 6.5 7.5 8 -3.75 36 32
-6 10 -5 2.5 7.5 -9 -1.625 2.25 -8 -120 -120
-5.5 1.25 -8 3.75 -9 5 10 -9 6 -48 -48
7.5 -8 4.5 1.75 -2.75 3 -3 10 1 -40 -40
-9 -3.75 1 -5.5 -8 -0.171875 5.5 -4.5 3.25 104 104
-8 7.5 10 9 9 2.25 1.875 5 -6 1 -2
7 5 8 -9 -7.5 -4.5 -8 9 -8 -224 -224
2.75 4 -8 -2.5 7.5 -10 -1.25 2 -1.5 -15 -16
1.75 2.75 8 0.1875 -1 1.625 -6.5 -1.875 -1 -52 -48
7.5 7.5 7 -1.125 -4.5 -6 -2.75 -8 9 -80 -80
5.5 -2.5 -2 4 -3.75 -1.375 1.875 1.125 7.5 -10 -8
-8 9 6.5 -3 1.5 -7.5 -0.9375 9 0.0859375 -112 -112
7.5 6 -7.5 -4.5 -4.5 10 9 -5 -7.5 -26 -22
6 1.375 7 3.5 3 -0.4375 -3.25 9 0.75 26 28
-10 -6 5.5 3 6.5 -5.5 1.375 8 -9 -8 -9
8 -9 4 8 4.5 -3.25 0.9375 9 -7.5 128 120
-0.25 -3.5 5.5 10 7 -8 1.75 9 5.5 128 128
10 -1.5 -3 1 -4.5 0.4375 -7 -5 9 -20 -20
-6 1.75 2 -9 -10 6.5 -0.28125 -7 -4 128 128
10 -6 6.5 5.5 3.5 -1 -2.25 0.625 3.5 36 32
1.125 -7.5 7 7 6.5 5 6 -3.5 -9 -22 -20
-3 9 -4.5 3.25 -5.5 -1.75 5.5 2.75 -9 -24 -24
8 -1.375 8 -6.5 -2 -5.5 -2 9 -5.5 -88 -88
-3.75 -3 -9 -2.75 -6.5 1.25 -6 -0.109375 7 80 88
9 3.5 -2.25 2 -0.34375 -9 8 8 -3.25 -40 -44
-8 8 -1.625 -1.5 2.75 7 7.5 -8 9 44 40
1.375 4.5 9 -5.5 -3.5 -5 -7.5 -1.75 -9 -96 -96
-1.125 -4 6.5 2.5 9 -1.625 1.5 2.5 5.5 18 18
-5.5 -1.125 0.875 -0.046875 4 -7.5 -4.5 1.875 -6 -24 -24
-5 -6 3 -5 0.5625 -4 3.25 -6.5 -0.3125 64 64
8 -3.5 -3.5 -0.9375 3 6.5 8 -3.5 -10 -32 -32
3.5 -7 -10 -8 7.5 -7.5 -5.5 -6.5 2 176 176
-5.5 1.375 1.125 -6.5 4.5 -9 10 0.375 -3.25 -30 -30
10 -7.5 -6.5 -10 -6.5 -9 7.5 -3 -1.625 -14 -20
9 -0.625 1.75 7 -2.5 0.46875 -6 8 -1.625 20 22
-9 -2.75 -10 9 -3.5 5.5 -4 -6.5 -8 -10 -12
-9 -3.75 0.8125 -0.46875 5.5 -2.75 6.5 -4 10 -22 -26
0.875 -6 0.0703125 7 -2.75 -3.25 7.5 6 -3.25 56 52
9 5 9 -3.5 7.5 -9 -10 -5 6.5 -48 -40
9 -8 9 4 -0.34375 6 -7 -5 7 -128 -120
-7 -1.125 0.75 -2.25 -8 -2.25 3.75 4.5 -6.5 44 48
1.25 -9 7 6.5 -6.5 -1.375 -7.5 2 -0.8125 -36 -36
9 3.5 -9 -0.75 -7 -2.5 6.5 -0.9375 -2 -128 -128
-5.5 -1.5 -8 3.75 0.6875 -0.0859375 9 10 8 -26 -28
-6.5 -0.15625 -3 -4.5 -5.5 2 -2.75 -8 9 88 88
9 4 -5 7 -4.5 -1.875 -7.5 -1.625 -0.5 -22 -24
7 -0.0175781 7 3.25 6.5 0.0859375 -9 -5.5 -6 -40 -48
3 -2.5 0.40625 6 -8 7 7.5 -1 -6 -48 -48
5.5 6.5 3.75 4.5 9 -3.25 3.25 1.75 2.75 52 52
-2.25 4 -3.25 1.125 -0.6875 -3.5 9 7 -3 -36 -36
6 -6.5 9 -7 -0.8125 4.5 6.5 -1 -3.25 28 28
9 -10 -0.5625 -3 10 2.75 -10 5.5 -9 40 40
-7 -5.5 3.75 -0.140625 -6 -6.5 -3 5 -8 52 64
1.5 9 -6.5 8 -10 4 -5 -7.5 -1.25 -8 -9
0.4375 9 0.46875 -2 8 -7.5 -2.5 8 -5.5 -88 -88
-4.5 -3.5 6 -9 -6 8 -6 -4 -7.5 -8 -7.5
-9 6.5 5.5 0.40625 3.75 -2.5 -10 -0.6875 -0.5 -104 -104
2.5 -4.5 1.875 -5.5 4 1.875 -4.5 -6 3.5 30 30
-6.5 -5.5 9 3.75 9 -8 -1.125 7 0.8125 4 0.8125
-8 9 -10 -0.75 2.25 3.5 -9 9 7 104 104
-10 0.625 -4.5 6.5 7.5 9 -1.5 -3.75 2.75 -80 -80
-8 0.15625 9 4 -7.5 -4.5 0.6875 7.5 -6.5 88 88
4.5 1.625 10 -1.375 9 -1 -5.5 -3.75 -0.75 -10 -12
1.875 -0.3125 4.5 -5.5 -10 -3.5 4.5 1.375 5 -0.5625 1.5
-8 -5.5 7 2 -0.0625 -9 0.46875 7.5 -4.5 64 60
4 -2.5 -9 2.75 8 6.5 3.5 7 -1.875 1.25 2
-7.5 7 0.40625 7 -6.5 -1.375 -6 1.625 5 52 52
1.375 1.375 9 -6 -3.5 7.5 -5.5 -1.875 -4 -36 -36
-7.5 -1.375 -1.75 -6 -2 -0.875 -5.5 -4.5 3.5 56 60
-6 -1.75 8 -5 5 7.5 10 -9 -2.5 80 80
3.75 6.5 6 -1.75 10 -7 8 -3.75 8 56 56
9 -0.21875 -4 -3 -8 5.5 7 -9 -2.5 -72 -64
1.375 7 9 5 -0.875 9 -3.25 -8 -8 -14 -16
-2 -5 -10 -6 5.5 8 -10 -6.5 3 88 80
-7.5 -4.5 -1.375 -2.5 9 -8 -7 -0.4375 6.5 -13 -10
5.5 -7.5 1.125 -7 9 -8 -5.5 -5 5 144 144
-7.5 2.5 9 3.25 -3.75 0.8125 0.875 -9 3.5 15 14
-5 -7.5 9 -5 -3.5 1.5 -6 -7 0.6875 -13 -11
8 -8 2.5 4 7.5 -6.5 1.625 -6 2 96 88
-3.5 -0.171875 -3.25 -3.5 -1.625 4 -5 -5.5 -9 32 32
-6 -5.5 -8 5.5 4.5 6.5 -7 -4.5 2.25 -28 -30
5 -3.25 1 -0.46875 -7 9 -9 -3.75 10 -60 -64
1.75 -0.75 -5.5 -2.25 -7 -3.25 7.5 7.5 2.75 -64 -60
4.5 -3 -1.625 7 -5.5 -8 -9 -9 -8 -56 -56
-2.5 7 -0.875 -4.5 1.25 -1.75 -6.5 -10 7.5 44 40
8 0.8125 2 -8 -4 -7 2.5 -9 3.75 44 44
0.4375 -6.5 9 2.25 -6 -10 10 -6 -10 128 120
-0.8125 -5.5 0.375 -1.625 4.5 -3.5 2 6 -9 -2.75 -3
7.5 -2.5 3.25 1 6 9 6 -8 4 36 36
5 -8 1.375 -1 -7.5 4 -5 4.5 -6.5 -96 -88
0.875 7 5 -0.6875 3.75 0.875 2.5 2.25 -8 12 10
-9 -6.5 -9 6.5 -4.5 -4.5 -8 -3 5 128 128
-1 1.75 3.75 2 -5 -6 3.5 -6 3 -1 -1
-3 6.5 -2.75 -7.5 -8 -2.5 6.5 -10 8 72 72
-7 2.25 4.5 -3.25 -3.25 7 -0.9375 -7.5 -7.5 52 52
-9 -0.875 0.875 -5 3.5 7 -3 -6 6.5 -2 -7.5
-1.125 9 -7 -10 -3.25 5.5 10 5 -3.75 -72 -64
-10 -6 1 -5.5 -3.75 -8 8 5.5 -2.75 56 52
-3.5 2.25 1.875 10 -4.5 -0.0507812 -9 -8 -7.5 -88 -88
-9 -7 9 -9 -6 -3.25 6 2.25 -2 104 112
-7 -1.25 -8 3.25 -10 1.375 7 -1.625 -6 2.75 4
3.25 9 7.5 -6.5 -3.25 -2.75 0.6875 1.25 1.125 -36 -40
-10 9 6 9 8 -8 -10 8 -9 -160 -176
1.875 3.25 -9 3.25 -3.5 2.25 4.5 6.5 6 -11 -12
-7.5 2 -2.5 9 3.75 7.5 -5.5 -3.5 8 -22 -24
-4.5 7.5 -3.75 1.5 0.5 8 9 0.9375 1.375 28 28
-3.75 0.4375 -3.5 2.25 -6.5 -2.5 8 -10 -10 -36 -40
10 -1.25 -6 9 -5.5 1.125 -9 -7 -8 -72 -72
3.25 6 -6 6.5 6 9 -6 -6.5 9 72 72
8 6 -1.5 -3.5 9 8 1.25 -9 -3.5 144 160
-10 -0.8125 -3 -1 -5 0.5625 -0.5 -4 9 64 60
6 -3.25 -9 -1.5 -7 5 -1.375 -4.5 0.3125 -36 -36
-3.5 7 -8 -2.75 -7 -10 -0.0292969 5.5 -2.5 -64 -64
5 -2.75 -7 0.5625 -1.75 -5.5 -0.6875 -0.34375 -0.0117188 11 11
5.5 -0.1875 -8 -4 3.5 9 -7 -3.75 -7 80 80
9 5 5.5 2.75 -0.875 -7.5 6 -2.25 7.5 -9 -10
-4.5 0.375 -0.375 -6.5 7.5 -7 -2.5 -1.25 7.5 -20 -20
-6 10 -4 1.875 -6 -3.25 -1.875 -5.5 9 10 11
-9 5.5 -2 -10 -4 2 -3.75 4.5 0.625 11 13
9 -4 10 0.125 3 -10 6.5 6 0.203125 128 128
7.5 1.5 -0.8125 -7.5 -8 0.875 -2.75 -10 3.75 24 20
-0.0625 6 3.5 3.5 2.5 -5 9 6 5 28 28
-0.5625 5.5 4.5 7.5 8 -7 7.5 4.5 1.75 28 22
4.5 -4.5 5 -1.625 -1.25 9 -4 4.5 -7 -80 -80
10 -6 -3.75 -9 6.5 -4.5 -6.5 -7.5 -3.75 176 192
-4.5 8 -3.25 9 -10 5 -10 8 0.8125 192 192
-10 8 -1.5 -9 -0.75 2.5 -1.75 4 7.5 4 1.5
-3 10 -3 5.5 -7 -6 6 -3.25 4.5 -64 -64
9 -0.5625 9 0.5 -4.5 7.5 8 -7.5 -0.75 24 24
7 3 -3.25 -7.5 -7.5 -2.75 4.5 8 10 -128 -120
2.75 -5 9 -0.875 8 -1.75 3.25 -0.5625 -1.25 56 64
0.8125 -9 -8 0.34375 6.5 10 2.75 -3.5 -8 -120 -112
3 0.171875 6.5 6 -2.25 10 5.5 10 8 96 104
7 -6 -4.5 -7.5 6 -8 -6 -8 7.5 176 176
-3.5 -6.5 -4.5 10 5.5 -3.5 -8 9 -9 120 120
5 -6 -5.5 10 -0.5 -6 6.5 0.40625 4.5 8 4.5
-3 1.875 9 4 7 3 -1.625 -6 -1.5 -56 -52
9 -6 -3.75 -6 3 -2.25 -1.375 0.375 -3.5 36 36
3.5 10 -0.21875 3 1.25 -6 9 -4.5 5.5 -60 -64
-7.5 -7 -1.25 5.5 7.5 -1.75 7.5 -6 -10 -96 -88
-3 8 2.5 -2.75 7.5 1.125 1.625 -0.9375 -6 -13 -12
-3.75 -9 7 6.5 -4.5 -0.875 -7 5.5 9 20 20
-4 2.25 3 3 -8 -0.8125 6 -1.125 7 52 52
-10 5.5 -4.5 -2.75 -10 -5.5 4 -7 -8 64 56
9 -9 4 -2.5 4.5 -3.25 6 -8 -1.125 112 112
1.625 2.25 2.25 -2.5 -1.5 3.5 -0.171875 0.875 -3 -0.1875 -0.25
-1.5 -8 -10 -2.75 4 7 2.75 8 -9 -120 -128
-0.6875 10 -8 -5.5 9 -0.25 5 -4.5 1.375 -24 -22
5 6.5 8 -2.25 -5.5 1.625 9 -3 2.5 64 64
-8 5.5 0.5 -4.5 -2.25 -5 6.5 8 -4 -48 -48
-6.5 4.5 10 -0.234375 -0.40625 -5 -2.75 0.5625 9 -36 -40
1.375 -5 6 3.25 -4 3.25 4.5 3.75 -3.5 13 14
-10 3.5 -6.5 2.75 -10 3.25 -6.5 -6.5 -1.625 128 128
4.5 -6 -10 -4 -5 3.5 -7.5 7 -7 -4 -3
-8 7 -1.875 4 2.75 3.75 -7.5 -0.625 5.5 22 22
-10 -0.15625 9 -3.5 -5 -1.25 3.5 2.5 5 80 80
-7.5 7.5 -8 7 -9 -1.75 0.5 4 -0.875 80 80
4 4 5.5 -1.875 -5.5 -2.5 6.5 5.5 5.5 -0.3125 -0.5
10 10 9 -5.5 7 -4.5 -7 2.5 -8 -56 -56
-5.5 -9 6 9 8 9 -5 9 -9 -80 -88
-3.75 7 7 -8 -5.5 5.5 4 3.5 -4 52 56
7.5 10 -2.5 6.5 -3 0.5 6 0.9375 0.34375 -26 -26
2.5 -6.5 -3.5 9 0.34375 -8 -7.5 10 2.5 176 160
8 7 8 -1.625 9 -1.5 -10 -7 -7.5 -16 -12
4.5 -5 8 -6.5 -3 -2 0.28125 0.34375 10 7 6
-0.34375 -7.5 4.5 9 -1.25 -8 5 6.5 -6.5 144 144
0.875 -10 3.25 1.5 -2.25 2.5 1.375 7 5 -7.5 -7
1.75 -4 -0.75 -4 1.125 6 -8 -3.25 -0.34375 -3 -3.25
-2.5 -10 -4.5 -9 -7 4.5 -8 5 3 -32 -28
8 -1 -9 -6 -6 -0.9375 6 1.75 2.5 -104 -112
-4.5 0.5625 -4.5 8 3.75 3.25 -5.5 7.5 4.5 72 80
-2 7 1.5 -3.75 -5 -0.3125 -1.875 -5.5 -3.25 22 20
3.75 3.25 4.5 -3.75 -9 1.875 -3.75 -3.5 -8 -36 -36
5 0.875 -4 7 3 -4.5 4 2.25 4 16 15
-0.8125 -3 -5 -9 5 4 1.5 -5 -9 13 11
1.375 6 2.75 5 -8 8 4 -1.75 -8 32 32
9 -4 -4 -6 -1.625 -2.75 1.125 -10 7 60 60
3 0.46875 -6.5 -6.5 4.5 -4 -2 -9 1 80 80
-6 -9 -6.5 -3.5 -3 -5.5 4 3.5 -8 20 20
-9 0.5625 1.875 0.0429688 8 9 1.875 -9 5 -56 -56
-6.5 -9 3.75 4 -0.125 -1 -5 7 -9 10 11
-6.5 -1.625 -4 3 -4 -4.5 -1.625 1.75 -10 36 32
-0.6875 7 -3.5 -2 6.5 9 -1 6.5 -1.75 48 52
1.625 -5.5 -6 3.25 1.375 -9 -4 -6.5 7 60 64
2.5 -2.5 4 -9 9 6 -9 4 2 -64 -64
-0.875 10 -1.125 -5.5 5.5 5.5 -8 4 -5.5 30 36
-0.40625 3.75 -3 -0.6875 7.5 5 5 -1.5 0.75 2 1.75
-1.125 7 3.25 10 5 7.5 1.125 1.625 -7.5 60 56
8 0.875 -9 10 -4 -1.625 6.5 -2 -4.5 -112 -120
9 -5 -4 0.171875 0.9375 9 -1.875 7.5 -7 -36 -32
-6.5 -9 6 -5 -3.25 0.8125 10 -5 -4.5 96 88
7 -0.25 3.25 -6 -8 0.6875 3.5 -2.75 -7.5 -36 -36
-5 2.25 6 5.5 8 5.5 -0.625 9 -2.5 14 14
-5 10 -3 5.5 7.5 -3 0.5625 2.5 -5 -60 -52
3.75 -1.25 -6.5 -6.5 -7.5 4 -4 -6 0.9375 32 32
-2 1.125 -1.75 -7.5 -4 -9 10 -4.5 -3.75 10 8
-1 8 -4.5 -3.5 3.25 2.5 -4.5 1.875 -6.5 24 24
6.5 0.15625 9 7 2.5 10 4 6.5 8 112 104
-6 0.75 10 5.5 3.25 0.21875 -1.375 4.5 -2.75 -11 -11
6.5 -3.5 -1.375 -2 7.5 -2 7 -6.5 2.75 64 64
10 -9 2.75 -9 3.5 -3.75 -7.5 5 -2.75 -1 -2.75
-7.5 1.125 -6.5 7.5 7 -8 5.5 0.5 1.25 -96 -96
5 9 -6 5.5 -9 -0.75 -10 1.875 4 22 22
0.0234375 5 0.101562 -9 -7 -8 -2 6.5 -2.5 -104 -96
-8 3 0.9375 -9 9 -7.5 -0.4375 8 -8 -176 -160
-3.5 6.5 2 -2.75 -4 0.46875 7 0.34375 9 40 40
4 10 10 -9 -0.8125 -0.5 5.5 7.5 9 -12 -7
3 -4.5 -8 -5 10 -7 -0.140625 5 -4.5 32 36
1.875 0.8125 4.5 6 -3.25 6 -8 -5 -8 -72 -72
2.5 4 -0.9375 -1.125 -9 -0.9375 -9 9 -0.625 -30 -28
0.8125 -9 -7 -4 2 -4.5 7.5 3.75 2 -24 -26
9 -10 8 -6.5 -5.5 5 7 6 3.25 -80 -80
2.25 -7 -4.5 1.5 1.75 -3.5 9 6.5 1.25 -0.25 -0.75
-5.5 -0.8125 -0.625 -2.75 -9 -5.5 4 6 4.5 40 36
7.5 5 3 -6 7 0.8125 6 9 -1.25 18 15
1.875 -4.5 -1.75 -6.5 2 3.5 -1.625 -8 0.8125 44 44
6.5 4 6.5 10 -0.9375 -7 7.5 1.125 9 36 36
-8 -6 -8 9 -3 -3.75 -6.5 -0.75 9 104 96
-10 2.75 2.5 -1 -0.00195312 0.6875 -10 -10 -2.5 -16 -14
8 -5.5 1.375 6.5 -3 7 -1.875 -6 0.9375 -104 -104
-3 -5 9 -7 -7.5 5.5 -1.75 5.5 -0.875 -60 -64
7.5 10 -7 9 7 -3.5 5.5 -10 -4 -112 -112
7 4 -5.5 -1.5 3.25 9 1.125 -0.171875 -10 40 40
-0.375 -6 7.5 -6 2.75 6 -3.25 -6.5 -5 -24 -24
-4.5 6 -5.5 -4.5 9 8 1.125 -2.25 -9 4 3
-3 -7.5 10 -6 1.125 3.75 1.125 -5 -5.5 6 4.5
4.5 -9 -1.375 4 5.5 5.5 -1.5 9 4.5 18 18
3 5.5 -1.875 3 2.5 9 -2.25 3.75 4.5 72 80
7 9 7 -7 9 -9 -5 6 3.5 -96 -96
-1.375 -1.875 -1.75 -7 -2.25 -0.234375 7 -7 2.25 44 44
-2.75 -2.25 -9 2.5 1.75 -5.5 -6.5 8 1.75 80 80
-5.5 -10 -8 6.5 3 -10 -1.625 5 -7.5 128 120
-2.75 2.75 -5 9 3 6 9 -0.75 0.0078125 -44 -44
-1.5 -7 -1.875 6.5 -5.5 8 5.5 -0.625 2.25 -64 -56
9 0.875 -5.5 2.25 8 -10 1.5 -7 -0.234375 40 40
-1.625 1.875 -9 -4 3.75 0.4375 0.875 5.5 6 -28 -30
9 -0.75 6.5 -9 -6 5.5 -0.6875 -2.75 7 -32 -32
3.5 -4.5 1.5 -9 3 8 1 0.5 -4.5 -32 -32
-7 -3 7.5 -9 -7 -2.75 6 0.117188 -4.5 96 88
-5 7.5 3 -9 -9 -5 -6 -3.5 -3.25 16 18
0.8125 -0.0195312 1.125 -8 -3.75 9 -8 5.5 1.5 -56 -56
5.5 8 -6 -0.25 -9 -6 8 -5 2 -144 -144
-8 -4.5 -10 3 9 4 -9 -8 4.5 -14 -20
-2.25 7 -6 6 -9 7.5 -8 -10 6.5 64 64
-7 -4.5 5 6.5 -10 7.5 -5 2.75 3 32 36
-9 2 -1.875 4.5 3.25 5.5 -4.5 6 -7 11 9
-0.5 -2.75 3.25 10 -5 7.5 4.5 -6 7.5 -56 -56
-0.234375 -6 6 9 -4.5 3.5 -0.5625 -0.28125 0.9375 -26 -26
9 -10 -4 9 10 1.5 0.875 -6 7 26 24
5.5 1.25 -3.25 -7 2.75 4 3.75 3.5 6 -8 -10
2.25 -9 3.5 1.125 2.5 -0.0859375 -4 7.5 9 10 9
-3.75 -3 -1 -1.5 9 6.5 6 -8 4 -44 -40
-5.5 5.5 8 -2.75 -9 1 -9 -7 -0.4375 -0.75 -0.4375
-4 -4 5 -9 2.5 -6 -4.5 10 -5 -104 -104
4.5 -1 4.5 0.4375 6.5 10 -0.8125 -5.5 0.3125 14 14
-3.75 9 9 -1.125 -6 -2.75 9 3 7.5 88 88
-4 10 -3.25 -9 -6 -2.75 3 9 -2.25 -96 -96
7.5 2.5 6.5 -4.5 -8 -4 5 1.875 7.5 -40 -40
-8 5.5 3.75 7 -6.5 5.5 -6.5 2 -6.5 64 64
-4 0.9375 -2 -1.125 -3.5 7 9 7.5 -5.5 -11 -12
-6.5 -6 5.5 -2 -9 4 -7.5 -7.5 -3 6 8
-4 -8 -4 -6 -8 -4.5 10 -3.5 0.5625 44 44
-5 -1.625 5.5 -8 0.25 -4 -7.5 -2.5 -2 -20 -18
0.234375 7.5 0.375 0.125 1.5 -1.75 -3.5 -0.0273438 3.75 -10 -10
6.5 10 2.5 3.25 -6.5 4 3.75 1 7 16 15
-6 5 6.5 -6 2.75 -3.75 -9 8 7 -128 -144
10 8 -10 -6 -1.125 -6 -8 -3 2.75 40 44
7.5 2.75 -0.75 7 2.25 -0.140625 -8 -10 10 -40 -40
-5.5 1.75 -0.1875 3.5 -2.75 4.5 10 -0.101562 2.75 24 24
-8 0.3125 7 -9 4 -2.25 4.5 -6 2.25 56 60
9 5 10 -6 5.5 1.5 7 -0.625 7.5 128 128
4.5 -3.25 1.75 -6.5 -0.6875 -3.25 -0.5625 1.75 4.5 -0.375 0.5
-5.5 -8 4.5 3 10 8 9 -2.25 1.625 -80 -88
2.5 -4 -9 3 -5.5 -1.375 7 7.5 3.5 -40 -44
3.75 -6.5 8 7.5 -4.5 -6.5 -0.28125 -7.5 9 -24 -20
5 1.875 0.15625 0.75 0.9375 6.5 6.5 8 1 26 24
4.5 5 3.5 0.5625 -1.25 -7.5 1.375 -1.25 -3 -44 -40
7.5 1.125 -1.125 5.5 9 -10 3.75 2.5 3.5 72 64
-2.75 8 -9 2.5 0.09375 -2.25 8 -1 -0.375 -88 -88
-6 -9 -3.75 -7 9 10 -1.5 1.5 5.5 -160 -160
3.5 4.5 0.6875 9 -9 -3 -6 1.75 8 -24 -28
-9 3.25 -9 -0.203125 5.5 -4.5 6 2.75 -1.5 -120 -120
